MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	0.00000012	0.00239295	0.00000572	0.00000538	0.00000006	0.00083811	0.00000381	0.00348382	0.00000991	0.00109362	0.00333363	0.00327785	0.00728314	0.00189937	0.00159024
1:Del:C:1	0.05346569	0.02658737	0.00003808	0.03626627	0.00000013	0.93138337	0.00003739	0.00002075	0.00000692	0.00000521	0.00000376	0.00000518	0.00000424	0.00000316	0.00000748
1:Del:C:2	0.01974936	0.00485142	0.87101830	0.02445680	0.00000031	0.00001052	0.00003754	0.00002254	0.00000719	0.00000558	0.00000286	0.00000677	0.00000451	0.00000181	0.00000838
1:Del:C:3	0.60872537	0.00249209	0.05127771	0.02839499	0.00335461	0.00001075	0.01333352	0.00002226	0.02137237	0.00000277	0.00000379	0.00000980	0.00000955	0.00000737	0.00000832
1:Del:C:4	0.13575239	0.03119924	0.00003740	0.01716120	0.04218276	0.00000576	0.00913981	0.00001527	0.41761344	0.00000583	0.00000843	0.00000577	0.00001300	0.00000932	0.00000777
1:Del:C:5	0.02265058	0.00298407	0.00070686	0.00659638	0.21211318	0.00001255	0.00051518	0.00001493	0.04526279	0.00000767	0.00150874	0.00001334	0.00522769	0.00495744	0.00001564
1:Del:T:0	0.00000015	0.00101248	0.00000439	0.00216468	0.00000040	0.00001017	0.00067287	0.00001206	0.00127074	0.00129432	0.00006855	0.00079198	0.00002151	0.00047789	0.00432554
1:Del:T:1	0.01674046	0.01667892	0.01406842	0.01670957	0.00041975	0.01171375	0.00003331	0.85182662	0.02092246	0.00000581	0.00000286	0.00000722	0.00000471	0.00975807	0.00000951
1:Del:T:2	0.01657843	0.00488188	0.01592990	0.01778489	0.00000043	0.00000834	0.84558196	0.00001870	0.00567031	0.00000483	0.00000301	0.00000533	0.00000383	0.01385999	0.00000810
1:Del:T:3	0.03292065	0.68493346	0.00003442	0.03043917	0.00739986	0.00000395	0.05465983	0.00002116	0.01417834	0.00000218	0.00000329	0.00000440	0.00000673	0.00000515	0.00000746
1:Del:T:4	0.01120977	0.07839055	0.01351716	0.53871922	0.03660958	0.00000491	0.00002843	0.00001958	0.00897823	0.00000674	0.00000605	0.00000613	0.00001054	0.00000861	0.00060814
1:Del:T:5	0.06170176	0.01817400	0.00004863	0.05240223	0.52122150	0.00000245	0.00004554	0.00001171	0.04314725	0.00000023	0.00000345	0.00000344	0.00000708	0.00785285	0.00000429
1:Ins:C:0	0.00000000	0.00000518	0.00036694	0.00295573	0.00145404	0.00000988	0.00000372	0.00243061	0.00174214	0.00237873	0.00612258	0.00275400	0.00527133	0.00165376	0.00566269
1:Ins:C:1	0.00000000	0.00000186	0.00000206	0.01383004	0.00000006	0.00000799	0.00000373	0.01798970	0.01050630	0.00000949	0.02219674	0.01518145	0.03953661	0.01168547	0.02338178
1:Ins:C:2	0.00000013	0.00000834	0.00334647	0.02242186	0.00127018	0.00001055	0.00000498	0.01466442	0.01844078	0.00599632	0.01440734	0.01764614	0.01111077	0.00392198	0.00422407
1:Ins:C:3	0.00000000	0.00034983	0.00000155	0.00000939	0.00052696	0.00523309	0.00672328	0.00765877	0.00204018	0.00001622	0.00743055	0.01647592	0.01942000	0.00825730	0.01498587
1:Ins:C:4	0.00000095	0.00068395	0.00000208	0.00000635	0.00106814	0.00000657	0.00000234	0.00587868	0.00912735	0.00233092	0.00741307	0.03644621	0.02613085	0.02080778	0.03451949
1:Ins:C:5	0.01601076	0.02403343	0.00000306	0.00000279	0.02750940	0.00000420	0.00183857	0.00000251	0.07861759	0.00000720	0.00092211	0.05348293	0.02012264	0.06998888	0.02767400
1:Ins:T:0	0.00023053	0.00025820	0.00000497	0.00987084	0.00172506	0.00001062	0.00000229	0.00484262	0.00055186	0.00708102	0.00945569	0.02430503	0.02858331	0.00332881	0.00358283
1:Ins:T:1	0.00000007	0.00000056	0.00000399	0.00000270	0.00000038	0.00000793	0.00000049	0.00000301	0.00000141	0.01189082	0.01620218	0.03364523	0.00000779	0.02029868	0.35578671
1:Ins:T:2	0.00000000	0.00048151	0.00000187	0.02823130	0.00559794	0.00383197	0.00000365	0.00839170	0.05007104	0.00158865	0.00204813	0.00574518	0.03003057	0.03075256	0.01912961
1:Ins:T:3	0.00000000	0.00857096	0.00000126	0.00000911	0.00569491	0.00392951	0.00578802	0.00843911	0.01991944	0.00030162	0.00783898	0.02959895	0.01022269	0.01727868	0.00541044
