Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS10c	SBS13	SBS40a
PD3851a_non-exome	201	0	0	580	0	0	0	914
PD3890a_non-exome	210	293	3872	836	0	0	660	0
PD3904a_non-exome	160	282	2308	158	0	0	366	2065
PD3905a_non-exome	181	240	2004	758	732	0	425	0
PD3945a_non-exome	179	299	0	4933	3765	0	753	0
PD4005a_non-exome	222	791	2773	640	0	0	1377	0
PD4006a_non-exome	310	0	3977	2042	2099	0	397	0
PD4085a_non-exome	273	0	0	796	439	0	0	1050
PD4086a_non-exome	132	247	0	1255	0	0	446	0
PD4088a_non-exome	269	0	0	89	0	239	0	1033
PD4103a_non-exome	553	483	0	797	0	0	542	2744
PD4107a_non-exome	302	708	3678	2513	2348	0	336	0
PD4109a_non-exome	789	707	3569	2114	0	1023	1278	0
PD4115a_non-exome	383	274	6435	1177	0	1015	261	0
PD4116a_non-exome	155	383	3471	1403	1519	0	746	0
PD4120a_non-exome	600	30961	0	3004	0	0	32069	0
PD4192a_non-exome	333	278	1907	735	0	0	476	0
PD4194a_non-exome	196	99	0	350	0	0	170	602
PD4198a_non-exome	443	487	0	2039	1058	0	312	0
PD4199a_non-exome	303	2383	0	1471	0	0	2393	0
PD4248a_non-exome	141	0	0	786	0	0	0	1484
